University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,19700;0,01700;0,00000;0;-2881
;0,19800;0,01000;0,00000;0;-2881
;0,19800;0,00300;0,00000;0;-2881
;0,19900;-0,01300;0,00000;0;-2881
;0,19900;0,01000;0,00000;0;-2881
;0,20000;0,05100;0,00000;0;-2881
;0,20000;0,00700;0,00000;0;-2881
;0,20100;-0,00200;0,00000;0;-2882
;0,20100;-0,03900;0,00100;0;-2882
;0,20200;-0,03400;0,00100;0;-2882
;0,20200;-0,02400;0,00100;0;-2882
;0,20300;-0,01600;0,00100;0;-2882
;0,20300;-0,03300;0,00100;0;-2882
;0,20400;0,00800;0,00000;0;-2883
;0,20400;-0,05100;0,00000;0;-2883
;0,20500;-0,04700;-0,00100;0;-2883
;0,20500;-0,02000;-0,00200;0;-2884
;0,20600;-0,04200;-0,00400;0;-2884
;0,20600;-0,06500;-0,00500;0;-2884
;0,20700;-0,06600;-0,00700;0;-2884
;0,20700;-0,06200;-0,00900;0;-2884
;0,20800;-0,01400;-0,01200;0;-2884
;0,20800;0,04800;-0,01400;0;-2884
;0,20900;-0,05100;-0,01700;0;-2884
;0,20900;0,00800;-0,01900;0;-2884
;0,21000;-0,02400;-0,02200;0;-2884
;0,21000;-0,02600;-0,02300;0;-2884
;0,21100;-0,01800;-0,02500;0;-2884
;0,21100;-0,02700;-0,02600;0;-2884
;0,21200;-0,02600;-0,02700;0;-2884
;0,21200;-0,05400;-0,02800;0;-2884
;0,21300;-0,03400;-0,02900;0;-2884
;0,21300;-0,05700;-0,02900;0;-2884
;0,21400;-0,04200;-0,03000;0;-2883
;0,21400;-0,03200;-0,03000;0;-2883
;0,21500;-0,00500;-0,03100;0;-2883
;0,21500;-0,01200;-0,03100;0;-2883
;0,21600;-0,04800;-0,03100;0;-2883
;0,21600;-0,03900;-0,03200;0;-2883
;0,21700;-0,02200;-0,03200;0;-2883
;0,21700;-0,02900;-0,03200;0;-2883
;0,21800;0,02300;-0,03200;0;-2883
;0,21800;-0,03700;-0,03200;0;-2883
;0,21900;-0,01700;-0,03200;0;-2883
;0,21900;-0,03300;-0,03100;0;-2883
;0,22000;-0,00100;-0,03100;0;-2883
;0,22000;-0,03500;-0,03000;0;-2883
;0,22100;0,00900;-0,02900;0;-2883
;0,22100;-0,04500;-0,02900;0;-2884
;0,22200;-0,02000;-0,02800;0;-2884
;0,22200;-0,07400;-0,02700;0;-2884
;0,22300;0,07600;-0,02600;0;-2884
;0,22300;-0,05200;-0,02500;0;-2884
;0,22400;-0,00500;-0,02500;0;-2884
;0,22400;-0,06300;-0,02400;0;-2884
;0,22500;0,03200;-0,02300;0;-2884
;0,22500;-0,03300;-0,02200;0;-2884
;0,22600;0,03200;-0,02100;0;-2884
;0,22600;-0,01900;-0,02100;0;-2884
;0,22700;-0,00900;-0,02000;0;-2884
;0,22700;-0,09000;-0,01900;0;-2884
;0,22800;0,01600;-0,01800;0;-2884
;0,22800;-0,04600;-0,01800;0;-2884
;0,22900;0,03000;-0,01700;0;-2884
;0,22900;0,00300;-0,01700;0;0
;0,23000;-0,00200;-0,01600;0;0
;0,23000;0,00600;-0,01600;0;0
;0,23100;0,02600;-0,01500;0;0
;0,23100;-0,02400;-0,01400;0;0
;0,23200;0,03000;-0,01400;0;0
;0,23200;-0,00300;-0,01300;0;0
;0,23300;0,03600;-0,01100;0;0
;0,23300;-0,01300;-0,01000;0;0
;0,23400;0,01500;-0,00900;0;0
;0,23400;-0,03200;-0,00800;0;0
;0,23500;0,04200;-0,00600;0;0
;0,23500;0,02300;-0,00500;0;0
;0,23600;-0,01800;-0,00300;0;0
;0,23600;-0,00700;-0,00200;0;0
;0,23700;0,03900;-0,00100;0;0
;0,23700;-0,02000;0,00100;0;0
;0,23800;0,08100;0,00200;0;0
;0,23800;0,00800;0,00300;0;0
;0,23900;0,03400;0,00400;0;0
